TP,site,N
2004,146,12
2005,146,12
2006,146,12
2007,146,12
2008,146,12
2009,146,12
2010,146,12
2011,146,12
2012,146,12
2013,146,12
2014,146,12
2015,146,12
2016,146,12
2017,146,12
2018,146,10
2019,146,12
2020,146,8
2021,146,10
2022,146,7
2008,147,3
2009,147,1
2010,147,2
2011,147,2
2012,147,2
2013,147,3
2014,147,3
2015,147,2
2016,147,1
2017,147,1
2018,147,4
2019,147,4
2020,147,5
2021,147,1
2000,148,3
2001,148,2
2004,148,2
2005,148,1
2006,148,2
2007,148,3
2008,148,6
2009,148,5
2010,148,7
2011,148,4
2012,148,5
2013,148,4
2014,148,5
2015,148,7
2016,148,5
2017,148,7
2018,148,7
2019,148,4
2020,148,6
2021,148,5
2001,149,12
2002,149,12
2003,149,12
2004,149,9
2005,149,5
2006,149,3
2007,149,5
2008,149,9
2009,149,9
2010,149,8
2011,149,9
2012,149,4
2013,149,9
2014,149,6
2015,149,9
2016,149,12
2017,149,12
2018,149,12
2019,149,12
2020,149,8
2021,149,9
2022,149,8
2000,150,12
2001,150,12
2002,150,12
2003,150,12
2004,150,12
2005,150,12
2006,150,12
2007,150,12
2008,150,12
2009,150,12
2010,150,12
2011,150,12
2012,150,12
2013,150,12
2014,150,9
2015,150,8
2016,150,10
2017,150,10
2018,150,10
2019,150,11
2020,150,9
2021,150,7
2022,150,3
2000,151,12
2001,151,9
2002,151,12
2003,151,12
2004,151,12
2005,151,12
2006,151,12
2007,151,12
2008,151,12
2009,151,12
2010,151,12
2011,151,12
2012,151,12
2013,151,12
2014,151,12
2015,151,12
2016,151,12
2017,151,12
2018,151,12
2019,151,12
2020,151,7
2021,151,7
2022,151,6
2001,153,2
2002,153,2
2004,153,2
2005,153,1
2006,153,4
2007,153,3
2008,153,9
2009,153,12
2010,153,4
2011,153,9
2012,153,9
2013,153,9
2014,153,7
2015,153,10
2016,153,9
2017,153,8
2018,153,7
2019,153,5
2020,153,7
2021,153,6
2022,153,3
2003,154,3
2004,154,5
2005,154,1
2006,154,2
2007,154,3
2008,154,10
2009,154,7
2010,154,7
2011,154,5
2012,154,5
2013,154,8
2014,154,4
2015,154,8
2016,154,7
2017,154,8
2018,154,5
2019,154,7
2020,154,4
2021,154,5
2000,155,12
2001,155,12
2002,155,12
2003,155,12
2004,155,11
2005,155,12
2006,155,11
2007,155,12
2008,155,11
2009,155,11
2010,155,12
2011,155,10
2012,155,9
2013,155,10
2014,155,11
2015,155,12
2016,155,8
2017,155,11
2018,155,12
2019,155,12
2020,155,2
2021,155,3
2022,155,1
2000,156,2
2002,156,2
2003,156,2
2004,156,5
2005,156,4
2006,156,5
2007,156,4
2008,156,3
2009,156,8
2010,156,8
2011,156,5
2012,156,8
2013,156,9
2014,156,5
2015,156,10
2016,156,8
2017,156,7
2018,156,10
2019,156,11
2020,156,7
2021,156,5
2022,156,2
2000,161,8
2001,161,3
2002,161,11
2003,161,5
2004,161,12
2005,161,12
2006,161,12
2007,161,12
2008,161,12
2009,161,12
2010,161,12
2011,161,9
2012,161,12
2013,161,11
2014,161,12
2015,161,12
2016,161,12
2017,161,12
2018,161,12
2019,161,12
2020,161,9
2021,161,9
2022,161,7
2000,164,6
