tf_id,arable_or_grazing_land,bare_earth_or_grass,coniferous_trees,construction_site,games_court,heath_or_rough_grassland,heath_or_rough_grassland_and_scattered_non_coniferous_trees_and_scrub,heath_or_rough_grassland_and_scrub,made_surface,marsh,mixed_trees,mixed_trees_and_scrub,non_coniferous_trees,non_coniferous_trees_and_scrub,residential_garden,scattered_non_coniferous_trees,scattered_non_coniferous_trees_and_scrub,scrub,sloping_masonry,steps,coniferous_trees_and_scrub,scattered_coniferous_trees,scattered_mixed_trees,tennis_court,boulders_or_rock,mud,mud_and_sand_or_shingle,runway,sand_or_shingle,scattered_mixed_trees_and_scrub,scattered_coniferous_trees_and_scrub,slipway,heath_or_rough_grassland_and_scattered_non_coniferous_trees,boulders_or_rock_and_mud_and_sand_or_shingle,boulders_or_rock_and_sand_or_shingle,orchard,slurry_bed,spoil_heap,marsh_and_non_coniferous_trees_and_scrub,quarry,livestock_pen,marsh_and_non_coniferous_trees,heath_or_rough_grassland_and_marsh,heath_or_rough_grassland_and_marsh_and_scattered_coniferous_trees,heath_or_rough_grassland_and_scattered_coniferous_trees,marsh_and_scrub,heath_or_rough_grassland_and_scattered_coniferous_trees_and_scrub,heath_or_rough_grassland_and_scattered_mixed_trees_and_scrub,heath_or_rough_grassland_and_scattered_rock_and_scrub
168,0,647914.8650300006,0,4392.656019,3549.019291,0,0,0,97261.96190599991,0,0,0,33922.616394,98672.555300000007,799717.1582610013,0,0,0,0,202.196992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,3131047.273531999,239155.2423040001,6089.107022,0,415.068472,0,0,121236.75953600001,393603.17799699976,0,38455.175417,0,40662.62746699999,55284.542527000005,323126.61737199995,0,0,4393.215865,109.50789999999999,18.50425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5547.305848,0,0,0,0,0,0,0,0
171,715951.2439779999,531352.9591939998,0,26340.144324,484.84465,8864.374781,0,0,223188.03701600005,404.13875,1452.28435,0,53281.435086000005,12912.568619000001,1132046.2660509967,7091.094571,0,18228.016770000002,0,0,0,5421.184358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,1274903.454744,935065.4244130006,0,33137.113231999996,1557.973735,33385.829788,0,55081.75232,528387.9036140001,87.23375,27871.996833999998,0,34962.587793,111771.199707,502089.29664299986,0,0,64835.89344699999,0,26.9379,0,0,0,0,0,0,0,0,0,0,0,0,14151.215128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,0,479639.85926799907,0,2132.471118,383.079094,0,0,0,292041.9848260001,690.1,10275.736182,899.05,25839.055036,151711.10698900002,1157597.1224579965,7109.2677,0,15167.489444,0,164.2227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,1797783.6029240002,532060.9630450003,13868.80141,0,6573.774148,0,0,11347.957382,177406.92032599996,0,655.21015,9705.159399999999,43492.93307,98628.12251499998,879541.2297329986,32702.783207,0,4020.609469,254.49835,115.77917599999998,9551.102403,0,0,0,0,0,0,0,0,0,9949.909722,0,6432.617853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,365108.31546099996,614995.1260749997,0,41218.231863999994,3844.5413609999996,10041.456861999999,0,0,326224.42873000057,0,11383.16669,0,42935.502626,14907.483239000001,1454365.8593529977,25114.705384,0,1733.9017039999999,980.4164589999999,32.228159,0,0,0,0,0,0,0,0,0,0,0,67.048393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,187741.272783,574083.7616349997,0,154691.663053,3608.3174209999997,10041.456861999999,0,0,394123.8255090002,0,12403.171689,988.6997,52861.781988,6208.402346,1390328.526907,22693.201509,0,692.726011,1859.7373340000001,124.369267,0,0,0,0,0,0,0,0,0,0,0,34.537065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,1488174.3941620004,439763.53958400036,0,2331.3720670000002,0,1674.3551,0,0,159508.38930500016,0,14170.664428,0,10023.487559,17458.801899,1457628.105343003,616.515372,0,1312.1392660000001,75.98795,14.782399999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,1058927.2370239997,438312.51069600054,0,0,6818.645665,35823.97134900001,51017.532898,203961.87621000002,236060.35982999997,7100.45945,4032.077068,0,8514.976569,54173.993927,1343011.3930909997,276.76025,0,4831.691412,75.98795,31.489281999999996,28351.117565,0,0,1219.88275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3602.88455,0,0,0,0,0,0,0,0,0
181,744433.9719319998,1029194.7587290003,4267.7842,1988.701293,1584.877227,0,0,0,143392.827095,1466.376969,1900.064157,21845.714096000003,63230.744376,270814.71372,1148962.9004839992,3995.548844,0,39925.69704,0,227.29545799999997,5573.435944999999,0,0,1059.442781,0,0,0,0,0,0,0,0,0,0,0,10179.19368,0,0,0,0,0,0,0,0,0,0,0,0,0
182,314226.624646,806214.4867490001,45695.045677,10003.899637999999,812.651385,0,0,0,342423.58702700044,1852.6275,1900.064157,20451.050296,87328.446653,188786.19385800004,1093744.6869789972,19526.896126,2079.334837,17768.729609,3178.029479,195.38081600000004,0,0,788.06125,1059.442781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1806.0925,0,0,0,0,0,0,0
183,0,713271.5539529998,0,18028.805346,4203.700544,0,0,4403.443485,698679.6135329993,0,0,0,87255.81359899999,129179.36983499996,868879.4117279991,0,6237.689222,2071.940799,178.780392,167.039009,0,0,0,4322.934275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,0,517803.287964,0,3984.3981860000004,1944.5151,0,0,4403.443485,565257.5949989994,0,0,0,41463.967242000006,134874.17599,928613.7430379963,1132.543422,0,3510.232942,178.780392,308.05433299999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,0,712395.4702330008,0,2972.77805,0,3386.572888,0,0,749716.521522,5703.510203,1126.100415,1697.06113,54649.673296,377063.66325,889909.3648630009,15676.692032,9007.75875,17941.726634,473.634194,220.02407500000004,0,0,0,1033.843625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,195225.842293,719229.9035859992,45695.045677,7612.541497,812.651385,0,0,0,447300.4126920004,1047.3475,1900.064157,20451.050296,84631.53494000001,186409.56071200003,968451.3286380008,19526.896126,229.7225,17750.602059,3178.029479,291.20366100000007,0,0,788.06125,1059.442781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1806.0925,0,0,0,0,0,0,0
244,0,940392.0823920007,1893.94102,10889.366161999998,13470.337013,35531.081288,0,9543.643417,238660.81376600018,0,74355.457003,101559.983681,84572.25464700001,357488.2955810001,904394.6349079991,16532.530989,21779.757035000002,7508.556658,1424.3563739999997,1368.5138220000001,1150.509252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,71087.63385,933182.7657859995,39038.498723,11733.172422,14972.165397999997,10306.581536,0,1741.377048,299598.5109380007,0,209881.419689,60135.704039000004,256235.40619699992,244916.79873500008,870568.4729710025,5638.214819,2573.86096,2075.591328,141.72310000000002,55.332735,0,0,0,1512.546375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,0,483921.5670549993,970.080658,17560.650846,35384.490204,6503.389591,0,0,529091.0802400005,0,4069.872062,8763.421999,72837.32733799999,17066.782994,652512.6190030003,28883.349229000003,0,8150.28096,1805.1518990000002,549.0464360000001,0,0,3927.2171800000006,1537.243004,4587.40285,11578.192713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
