tf_id,plant_date,area,trees,lat,lon,date,year,month
324,08 February 2023,200," Oak, english(Quercus robur) ",52.09693009,-0.29757559,2023-02-08,2023,2
324,08 February 2023,200, Rowan(Sorbus aucuparia),52.09693009,-0.29757559,2023-02-08,2023,2
326,17 December 2022,205,"Birch, downy(Betula pubescens) ",51.871505,-0.512358,2022-12-17,2022,12
326,17 December 2022,205," Birch, silver(Betula pendula) ",51.871505,-0.512358,2022-12-17,2022,12
326,17 December 2022,205, Blackthorn(Prunus spinosa) ,51.871505,-0.512358,2022-12-17,2022,12
326,17 December 2022,205," Box, common(Buxus sempervirens) ",51.871505,-0.512358,2022-12-17,2022,12
326,17 December 2022,205," Buckthorn, purging(Rhamnus cathartica) ",51.871505,-0.512358,2022-12-17,2022,12
326,17 December 2022,205, Dog Rose(Rosa canina) ,51.871505,-0.512358,2022-12-17,2022,12
326,17 December 2022,205," Elm, wych(Ulmus glabra) ",51.871505,-0.512358,2022-12-17,2022,12
326,17 December 2022,205," Guelder, rose(Viburnum opulus) ",51.871505,-0.512358,2022-12-17,2022,12
326,17 December 2022,205, Hawthorn(Crataegus monogyna) ,51.871505,-0.512358,2022-12-17,2022,12
326,17 December 2022,205, Hazel(Corylus avellana) ,51.871505,-0.512358,2022-12-17,2022,12
326,17 December 2022,205, Holly(Ilex aquifolium) ,51.871505,-0.512358,2022-12-17,2022,12
326,17 December 2022,205, Hornbeam(Carpinus betulus) ,51.871505,-0.512358,2022-12-17,2022,12
326,17 December 2022,205," Lime, small-leaved(Tilia cordata) ",51.871505,-0.512358,2022-12-17,2022,12
326,17 December 2022,205," Oak, english(Quercus robur) ",51.871505,-0.512358,2022-12-17,2022,12
326,17 December 2022,205," Oak, sessile(Quercus petraea) ",51.871505,-0.512358,2022-12-17,2022,12
326,17 December 2022,205, Rowan(Sorbus aucuparia) ,51.871505,-0.512358,2022-12-17,2022,12
326,17 December 2022,205, Wild service tree(Sorbus torminalis),51.871505,-0.512358,2022-12-17,2022,12
327,23 March 2023,198,Alder(Alnus glutinosa) ,52.06658205,-0.63102201,2023-03-23,2023,3
327,23 March 2023,198," Birch, downy(Betula pubescens) ",52.06658205,-0.63102201,2023-03-23,2023,3
327,23 March 2023,198," Birch, silver(Betula pendula) ",52.06658205,-0.63102201,2023-03-23,2023,3
327,23 March 2023,198, Blackthorn(Prunus spinosa) ,52.06658205,-0.63102201,2023-03-23,2023,3
327,23 March 2023,198, Broom(Cytisus scoparius) ,52.06658205,-0.63102201,2023-03-23,2023,3
327,23 March 2023,198," Cherry, wild(Prunus avium) ",52.06658205,-0.63102201,2023-03-23,2023,3
327,23 March 2023,198, Dog Rose(Rosa canina) ,52.06658205,-0.63102201,2023-03-23,2023,3
327,23 March 2023,198, Dogwood(Cornus sanguinea) ,52.06658205,-0.63102201,2023-03-23,2023,3
327,23 March 2023,198, Hawthorn(Crataegus monogyna) ,52.06658205,-0.63102201,2023-03-23,2023,3
327,23 March 2023,198, Hazel(Corylus avellana) ,52.06658205,-0.63102201,2023-03-23,2023,3
327,23 March 2023,198, Hornbeam(Carpinus betulus) ,52.06658205,-0.63102201,2023-03-23,2023,3
