tf_id,plant_date,area,trees,date,FID,LSOA11CD,LSOA11NM,LSOA11NMW,BNG_E,BNG_N,LONG,LAT,Shape__Area,Shape__Length,GlobalID,lower_super_output_area_2011_name,rural_urban_classification_2011_code,rural_urban_classification_2011_10_fold,rural_urban_classification_2011_2_fold,lat,lon
185,14 January 2022,204,,2022-01-14,10095,E01010401,Walsall 025A,Walsall 025A,395268,298907,-2.07127,52.58796,447228.14956665,2689.11253543318,d5e05fb9-f25a-4930-aea7-a5830ad0e9b9,Walsall 025A,A1,Urban major conurbation ,Urban,52.5867924941756,-2.06688092579331
186,11 January 2022,206,,2022-01-11,10012,E01010318,Walsall 024B,Walsall 024B,401628,299279,-1.97739,52.59132,469830.873641968,3375.24879592548,b5574988-f915-4bd9-8f56-594325e3d1cf,Walsall 024B,A1,Urban major conurbation ,Urban,52.592255,-1.976424
187,24 January 2022,210,,2022-01-24,9698,E01009998,Sandwell 010F,Sandwell 010F,399973,293378,-2.00182,52.53827,513413.642715454,3157.05789658569,b82f62d5-e8a9-4121-8094-69afb710dff7,Sandwell 010F,A1,Urban major conurbation ,Urban,52.541429,-1.993279
188,10 January 2022,205,,2022-01-10,10082,E01010388,Walsall 022E,Walsall 022E,406829,299266,-1.90062,52.59116,2450343.24287415,9339.29827772312,0ba0f3ba-0069-4e87-9317-573162842b69,Walsall 022E,A1,Urban major conurbation ,Urban,52.577422,-1.909467
189,12 January 2022,202,,2022-01-12,9984,E01010290,Walsall 006D,Walsall 006D,400235,303892,-1.99795,52.63279,1222740.24576569,5574.1865978836,2fe69882-9c85-4728-b446-3445b490f284,Walsall 006D,A1,Urban major conurbation ,Urban,52.6302218963334,-1.99648580515203
190,12 January 2022,205,,2022-01-12,32052,E01032888,Walsall 018F,Walsall 018F,401842,300953,-1.97422,52.60637,1306366.08472443,5997.33166985263,9f61c83a-c3f9-437d-baae-b207127c256e,Walsall 018F,A1,Urban major conurbation ,Urban,52.607959,-1.97451
191,29 January 2022,205,,2022-01-29,8767,E01009012,Birmingham 028C,Birmingham 028C,411471,291361,-1.83237,52.52002,297560.896835327,2198.66100084915,425950ff-33a1-46e3-948a-1f81ac13e3e1,Birmingham 028C,A1,Urban major conurbation ,Urban,52.52012971648072,-1.8310739156350504
192,26 January 2022,201,,2022-01-26,8719,E01008959,Birmingham 116A,Birmingham 116A,403947,279880,-1.94338,52.41691,480526.323814392,2586.92929154009,b510c9f7-760d-48e4-89b7-6ce714ad95a5,Birmingham 116A,A1,Urban major conurbation ,Urban,52.418404,-1.942526
194,31 January 2022,204,,2022-01-31,10249,E01010555,Wolverhampton 005A,Wolverhampton 005A,395920,301793,-2.06168,52.61391,342099.794921875,2765.2470254955,317f3afc-bf99-410d-bd7a-990f04de7329,Wolverhampton 005A,A1,Urban major conurbation ,Urban,52.615857,-2.059127
195,02 February 2022,200,,2022-02-02,10217,E01010523,Wolverhampton 013B,Wolverhampton 013B,389700,300095,-2.15349,52.59856,355419.950134277,2551.65525947607,3ea6fec7-903f-4e24-909d-ebf160d36dcc,Wolverhampton 013B,A1,Urban major conurbation ,Urban,52.595457,-2.148854
196,03 February 2022,205,,2022-02-03,10123,E01010429,Wolverhampton 035C,Wolverhampton 035C,391227,296943,-2.13086,52.57025,160263.888557434,2262.17827874432,427663c7-531b-45de-b279-b7f65910fde5,Wolverhampton 035C,A1,Urban major conurbation ,Urban,52.56972,-2.12896
197,04 February 2022,204,,2022-02-04,10170,E01010476,Wolverhampton 015E,Wolverhampton 015E,393667,300015,-2.09492,52.5979,472439.373435974,3022.22735956445,368a2edd-4974-46ab-8274-fac5ebcdcf85,Wolverhampton 015E,A1,Urban major conurbation ,Urban,52.597139,-2.101722
198,03 February 2022,208,,2022-02-03,10104,E01010410,Wolverhampton 033A,Wolverhampton 033A,395165,295763,-2.07274,52.55969,896770.291152954,4616.55009797982,1bc1e382-a787-45ed-af78-ab85862fa471,Wolverhampton 033A,A1,Urban major conurbation ,Urban,52.561380353055256,-2.074920820108497
199,04 February 2022,207,,2022-02-04,10184,E01010490,Wolverhampton 028B,Wolverhampton 028B,388566,296713,-2.17011,52.56813,314467.929222107,2188.39499439209,7e9bf97d-a3b8-4497-9c33-7342899898cb,Wolverhampton 028B,A1,Urban major conurbation ,Urban,52.565599,-2.170968
202,19 February 2022,200,,2022-02-19,465,E01000470,Bexley 002F,Bexley 002F,547637,180057,0.125635,51.50017,334608.98828125,3207.55843084116,62055b41-7c13-433c-8370-41b86e11fe66,Bexley 002F,A1,Urban major conurbation ,Urban,51.502237,0.127549
203,24 February 2022,205,,2022-02-24,207,E01000211,Barnet 035C,Barnet 035C,525054,189256,-0.19626,51.58829,289053.225257874,3358.6855128136,7ee0d49e-36d1-4efd-8c10-2c677d3654cf,Barnet 035C,A1,Urban major conurbation ,Urban,51.589091,-0.196905
204,01 March 2022,196,,2022-03-01,1867,E01001913,Hammersmith and Fulham 014C,Hammersmith and Fulham 014C,524474,177763,-0.20869,51.48513,133626.253890991,1515.59721498249,5d3104a6-4d53-419c-a917-499fbed39076,Hammersmith and Fulham 014C,A1,Urban major conurbation ,Urban,51.484673,-0.205553
205,17 March 2022,203,,2022-03-17,30492,E01031283,Warwick 004C,Warwick 004C,423536,270801,-1.656,52.33481,19655636.1469879,29353.4302942739,4f4aa40c-6d5b-499f-89fd-17811b35bc8c,Warwick 004C,E1,Rural village and dispersed,Rural,52.321905,-1.671257
206,14 February 2022,209,,2022-02-14,31717,E01032528,Coventry 035H,Coventry 035H,436724,277513,-1.46173,52.39442,469642.263336182,3096.51131834458,3957bfbc-9efe-495d-a596-73eabee9cbb1,Coventry 035H,C1  ,Urban city and town  ,Urban,52.3930237811975,-1.46405264955692
207,15 February 2022,201,,2022-02-15,9357,E01009647,Coventry 017C,Coventry 017C,432136,279627,-1.52895,52.41372,511092.968803406,3004.46229245316,db7b961e-3f4a-4ae0-9948-ea8814135a0d,Coventry 017C,C1  ,Urban city and town  ,Urban,52.415305,-1.528072
208,14 February 2022,210,,2022-02-14,31353,E01032157,Bromsgrove 011B,Bromsgrove 011B,396456,271008,-2.05343,52.33715,567045.649353027,3776.75047248165,fe4b1909-bb9d-45e4-a98d-cb9a9f4fa2f4,Bromsgrove 011B,C1  ,Urban city and town  ,Urban,52.338248,-2.051136
209,17 February 2022,210,,2022-02-17,28978,E01029734,Stafford 016C,Stafford 016C,392829,321354,-2.10777,52.78972,683686.396026611,4272.98017823699,95e666c3-7582-45c6-b901-a34a0b01ecdb,Stafford 016C,C1  ,Urban city and town  ,Urban,52.79032,-2.108104
210,15 February 2022,210,,2022-02-15,30287,E01031073,Nuneaton and Bedworth 002C,Nuneaton and Bedworth 002C,434005,293353,-1.50008,52.537,803629.39591217,4697.73017640402,09d3670e-c3bd-4750-8521-d806fb2a2083,Nuneaton and Bedworth 002C,C1  ,Urban city and town  ,Urban,52.534757,-1.499698
211,06 April 2022,200,,2022-04-06,84,E01000087,Barking and Dagenham 020B,Barking and Dagenham 020B,549302,183523,0.151071,51.53088,379558.917114258,2931.7477727359,9d836de0-0530-4a00-8414-e39679da25a4,Barking and Dagenham 020B,A1,Urban major conurbation ,Urban,51.526791,0.147647
212,07 March 2022,200,,2022-03-07,15074,E01015538,Swindon 016A,Swindon 016A,417656,184734,-1.74668,51.56121,351842.190803528,3876.56096841502,2000283d-8df2-478d-b8f3-ad2455873f08,Swindon 016A,C1  ,Urban city and town  ,Urban,51.562319,-1.750489
214,26 March 2022,201,,2022-03-26,17452,E01017972,Cambridge 003C,Cambridge 003C,547259,260235,0.154339,52.22065,392088.383865356,2973.22086724115,6e3ae5ae-0ac5-4619-b416-11376aedd4db,Cambridge 003C,C1  ,Urban city and town  ,Urban,52.221545,0.152687
215,23 March 2022,205,,2022-03-23,17480,E01018002,Cambridge 012A,Cambridge 012A,544627,255114,0.113653,52.17534,2367202.73982239,7812.82956361878,5fad102f-b9e1-4d3e-878e-130e2ce87f32,Cambridge 012A,C1  ,Urban city and town  ,Urban,52.176945,0.11985
216,24 March 2022,206,,2022-03-24,17455,E01017975,Cambridge 001A,Cambridge 001A,545754,261055,0.132677,52.22842,234667.58895874,2079.39936844443,428262cb-e657-4fdb-81e9-aa6a442cd698,Cambridge 001A,C1  ,Urban city and town  ,Urban,52.227131,0.133424
217,16 March 2022,200,,2022-03-16,26758,E01027465,Northumberland 033B,Northumberland 033B,417505,574318,-1.72747,55.06304,18884240.8570557,27141.1888943148,5b3a2dcc-1b7a-436a-818d-9ef2b75b7955,Northumberland 033B,C1  ,Urban city and town  ,Urban,55.054037,-1.73862
218,21 February 2022,205,,2022-02-21,9492,E01009789,Dudley 007C,Dudley 007C,391631,292291,-2.12478,52.52843,348762.861305237,2811.01976107121,d4c83c81-9831-46e4-80c8-65b2f7fa6512,Dudley 007C,A1,Urban major conurbation ,Urban,52.5291723224922,-2.11865934332309
219,22 February 2022,203,,2022-02-22,9559,E01009856,Dudley 035A,Dudley 035A,390781,284017,-2.13708,52.45404,584922.756584167,3941.47127722271,5eabf264-8fef-478a-93f0-c32dc1d02551,Dudley 035A,A1,Urban major conurbation ,Urban,52.452385,-2.136802
220,24 February 2022,209,,2022-02-24,9545,E01009842,Dudley 018B,Dudley 018B,394538,288353,-2.08187,52.49307,335506.204368591,2348.92989116795,8b3667cd-8932-41b6-8f00-9762bcc75e09,Dudley 018B,A1,Urban major conurbation ,Urban,52.493109,-2.078593
221,25 February 2022,204,,2022-02-25,9451,E01009746,Dudley 022C,Dudley 022C,392235,287818,-2.11577,52.48823,911896.883430481,4175.1099802589,96371607-80b1-465a-8db6-db3f71112280,Dudley 022C,A1,Urban major conurbation ,Urban,52.484909,-2.124418
222,07 April 2022,201,,2022-04-07,9197,E01009476,Birmingham 055B,Birmingham 055B,411374,287269,-1.83393,52.48324,315564.463684082,2269.62537454074,295d7fea-0d04-4a05-a4aa-90093791e67b,Birmingham 055B,A1,Urban major conurbation ,Urban,52.483547,-1.834239
224,08 March 2022,200,,2022-03-08,10129,E01010435,Wolverhampton 006A,Wolverhampton 006A,391604,301406,-2.12541,52.61038,879228.224655151,4195.40034244636,46a43e79-a5f8-4f5d-98c5-d8c52fee8490,Wolverhampton 006A,A1,Urban major conurbation ,Urban,52.61622,-2.128933
225,11 March 2022,207,,2022-03-11,28944,E01029700,Stafford 011B,Stafford 011B,393625,322139,-2.09598,52.79679,1062437.15965271,4844.78188962391,c150e135-1477-4161-b3b6-2282c831ec3f,Stafford 011B,C1  ,Urban city and town  ,Urban,52.800133,-2.089367
